,name,year,wine ID,rating,price,winery,ratings_count,region,number_of_flavors,number_of_grapes,grapes,black_fruit,citrus_fruit,dried_fruit,earth,floral,microbio,non_oak,oak,red_fruit,spices,tree_fruit,tropical_fruit,vegetal
0,Brut Premier Champagne N.V.,N.V.,74298,4.2,65.09816341994379,Louis Roederer,52143,Champagne Premier Cru,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.0005178068005293136,0.0356519571179257,0.0006904090673724182,0.018852003145196864,0.0015150643422894732,0.03524921849529179,0.036610858600387396,0.029399919452275474,0.0019561590242218514,0.003528757455459026,0.04144372207199432,0.0024931438544003987,0.009704083002512322
1,Oeil de Perdrix Brut Rosé Champagne N.V.,N.V.,1998957,3.9,80.13238129983843,Champagne Devaux,856,Champagne,12,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.002336448598130841,0.018691588785046728,0.0,0.011682242990654205,0.0011682242990654205,0.029205607476635514,0.028037383177570093,0.02336448598130841,0.10046728971962617,0.004672897196261682,0.011682242990654205,0.0011682242990654205,0.004672897196261682
2,Grand Brut Champagne N.V.,N.V.,79160,4.2,67.33325047808813,Perrier-Jouët,39646,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.0008071432174746507,0.03685113252282702,0.0006305806386520708,0.018034606265449227,0.0029511173888916915,0.031024567421681883,0.032613630631085105,0.02456742168188468,0.0018665186904101296,0.003606921253089845,0.043913635675730214,0.0027493315845230288,0.008651566362306412
3,Brut Cuvée Champagne Rosé N.V.,N.V.,8305,4.4,69.05717412831605,Laurent-Perrier,35543,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.002278929747066933,0.019750724474580088,0.0009284528599161579,0.009368933404608502,0.0013786118222997496,0.020116478631516756,0.01983512928002701,0.015417944461638015,0.041527164279886335,0.0028134935148974483,0.011253974059589793,0.0009847227302141068,0.002982303125791295
4,Brut Rosé Champagne N.V.,N.V.,1211816,4.4,57.029799824400335,Billecart-Salmon,21474,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.001909285647760082,0.03543820434013225,0.001303902393592251,0.019232560305485702,0.004610226320201173,0.03180590481512527,0.028033901462233397,0.02444816987985471,0.06123684455620751,0.004563658377572879,0.027987333519605105,0.0019558535903883767,0.0075440067057837385
5,Brut Rosé Champagne N.V.,N.V.,1148298,4.3,75.0708612802739,Ruinart,19451,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.0024677394478432985,0.019587681867256183,0.0014395146779085908,0.011721762377255668,0.002262094493856357,0.020358850444707213,0.02030743920621048,0.01660583003444553,0.04292838414477405,0.0028276181173204464,0.01048789265333402,0.002519150686340034,0.0032389080252943295
6,Blason Rosé Brut Champagne N.V.,N.V.,1987886,4.2,94.52513921685755,Perrier-Jouët,8709,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.0020668274199104374,0.018256975542542197,0.0011482374555057985,0.007578367206338271,0.001607532437708118,0.01630497186818234,0.01607532437708118,0.012975083247215524,0.03352853370076932,0.003215064875416236,0.01584567688598002,0.0009185899644046389,0.002411298656562177
7,Brunello di Montalcino 2013,2013,22917,4.2,81.86632776198628,Banfi,8532,Brunello di Montalcino,13,1,['Sangiovese'],0.11638537271448664,0.007735583684950774,0.026605719643694327,0.21378340365682139,0.017815283638068447,0.0343413033286451,0.16561181434599156,0.25562587904360057,0.19127988748241911,0.12107360525082043,0.0032817627754336614,0.0010548523206751054,0.016526019690576654
8,Malbec Alta 2018,2018,68824,4.6,64.8807668485974,Angélica Zapata,5016,Mendoza,13,1,['Malbec'],0.10027910685805423,0.0029904306220095694,0.01036682615629984,0.06160287081339713,0.015350877192982455,0.012161084529505583,0.07675438596491228,0.13137958532695374,0.04047049441786284,0.07416267942583732,0.001594896331738437,0.001594896331738437,0.004984051036682616
9,Nicola Catena Parcela Bonarda 2018,2018,5095201,4.6,93.50039400292316,Catena Zapata,2823,Mendoza,10,1,['Bonarda'],0.03294367693942614,0.0,0.0038965639390719092,0.01487778958554729,0.002479631597591215,0.002479631597591215,0.02763018065887354,0.039319872476089264,0.02089975203684024,0.028338646829613887,0.0,0.0,0.0028338646829613886
10,Malbec Argentino 2018,2018,1869,4.7,133.36602074433912,Catena Zapata,2627,Mendoza,13,1,['Malbec'],0.2672249714503236,0.004567948229920061,0.02398172820708032,0.1872858774267225,0.034640274076893796,0.02893033878949372,0.17586600685192236,0.2877807384849638,0.1366577845451085,0.14427103159497526,0.0049486105824134,0.00038066235249333843,0.013703844689760183
11,Bramare Malbec Lujan de Cuyo 2019,2019,43974,4.5,61.997177210881965,Viña Cobos,1920,Lujan de Cuyo,13,1,['Malbec'],0.26458333333333334,0.003125,0.025,0.17239583333333333,0.0265625,0.030729166666666665,0.22239583333333332,0.3385416666666667,0.12552083333333333,0.19895833333333332,0.0015625,0.0010416666666666667,0.0125
12,Gran Enemigo 2016,2016,1235058,4.6,72.99086270467208,El Enemigo,1886,Mendoza,11,6,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot', 'Carménère']",0.12460233297985154,0.0015906680805938495,0.012725344644750796,0.10180275715800637,0.013255567338282079,0.021208907741251327,0.0975609756097561,0.15800636267232238,0.057794273594909865,0.09862142099681867,0.0,0.0,0.01007423117709438
13,Conjuro 2015,2015,1199944,4.4,66.32256166745513,Bressia,1313,Mendoza,11,6,"['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot', 'Carménère']",0.05026656511805026,0.0007616146230007616,0.0007616146230007616,0.0357958872810358,0.0015232292460015233,0.006092916984006093,0.031226199543031227,0.0715917745620716,0.01904036557501904,0.0297029702970297,0.0,0.0,0.006092916984006093
14,Réserve Brut Champagne N.V.,N.V.,1884610,4.2,57.92587342048203,Pol Roger,33623,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.0005353478273800672,0.048300270648068286,0.0011599202926568122,0.026261785087588852,0.0040448502513160635,0.04577223924099575,0.05237486244534991,0.0401808285994706,0.0021413913095202687,0.006245724652767451,0.06186241560836332,0.0034500193320048775,0.008297891324391042
15,Ice Impérial (Demi-Sec) Champagne N.V.,N.V.,1161252,4.2,68.14928913182725,Moët & Chandon,15881,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.0008185882501101946,0.014734588501983501,0.000440778288520874,0.006548706000881557,0.000440778288520874,0.0051004344814558275,0.0050374661545242744,0.0039040362697563124,0.009256344058938354,0.01139726717461117,0.018449719790945153,0.005981991058497576,0.0017001448271519426
16,Prestige Rosé Brut Champagne N.V.,N.V.,1141133,4.1,68.14928913182725,Taittinger,8041,Champagne,13,3,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']",0.004974505658500186,0.0293495833851511,0.0012436264146250466,0.015047879616963064,0.0021141649048625794,0.02487252829250093,0.02748414376321353,0.02449944036811342,0.08058699166770303,0.0033577913194876258,0.016042780748663103,0.001119263773162542,0.003979604526800149
17,Sauvignon Blanc 2017,2017,18978,4.1,61.3336786575971,Cloudy Bay,5674,Marlborough,13,1,['Sauvignon Blanc'],0.019210433556573845,0.7675361297144871,0.0028198801550934085,0.2284102925625661,0.06150863588297498,0.06591469862530842,0.031018681706027493,0.05921748325696158,0.010045823052520268,0.06573845611561509,0.337856891082129,0.45294324991187873,0.39971801198449064
18,Barolo 2013,2013,92461,3.7,114.76919735919552,Fontanafredda,4971,Barolo,13,1,['Nebbiolo'],0.06336753168376584,0.009253671293502314,0.02072017702675518,0.18386642526654598,0.02051901025950513,0.032589016294508145,0.10239388453027559,0.18628042647354656,0.1550995775497888,0.07402937034801851,0.0032186682760008047,0.001408167370750352,0.009454838060752363
19,Ca'Marcanda Promis Toscana 2017,2017,1736416,4.1,66.43227838502031,Gaja,3987,Toscana,13,4,"['Cabernet Sauvignon', 'Merlot', 'Sangiovese', 'Canaiolo Nero']",0.2656132430398796,0.004514672686230248,0.01605216955104088,0.2533233007273639,0.025583145221971408,0.03837471783295711,0.18886380737396538,0.3227990970654628,0.2089290193127665,0.1600200652119388,0.00200652119388011,0.0007524454477050414,0.019563581640331076
20,Chianti Classico 2018,2018,11722,3.9,94.19502159070043,Castellare,3768,Chianti Classico,13,4,"['Sangiovese', 'Trebbiano', 'Canaiolo Nero', 'Malvasia Nera']",0.09023354564755838,0.006369426751592357,0.013800424628450107,0.16056263269639065,0.022558386411889595,0.02521231422505308,0.10111464968152867,0.19081740976645437,0.24150743099787686,0.09156050955414012,0.0037154989384288748,0.0005307855626326964,0.024681528662420384
21,Ca'Marcanda Magari 2016,2016,1178883,4.3,93.69925831917044,Gaja,2839,Bolgheri,13,3,"['Cabernet Sauvignon', 'Merlot', 'Sangiovese']",0.20147939415287072,0.006692497358224727,0.011623811201127158,0.17189151109545614,0.017611835153222965,0.029587883057414582,0.14582599506868615,0.23353293413173654,0.14265586474110603,0.12574850299401197,0.0024656569214512153,0.0014089468122578373,0.018316308559351884
22,Bin 389 Cabernet - Shiraz 2018,2018,24056,4.3,60.65211761017409,Penfolds,2624,South Australia,13,2,"['Shiraz/Syrah', 'Cabernet Sauvignon']",0.6905487804878049,0.012576219512195123,0.06097560975609756,0.41577743902439024,0.03467987804878049,0.06859756097560976,0.45960365853658536,0.8353658536585366,0.25876524390243905,0.506859756097561,0.005335365853658537,0.0022865853658536584,0.02934451219512195
23,Sito Moresco Langhe 2013,2013,66214,4.1,80.06576835209538,Gaja,2323,Langhe,13,1,['Nebbiolo'],0.14808437365475677,0.009900990099009901,0.016788635385277657,0.26431338786052516,0.036160137752905726,0.039603960396039604,0.15066724063710718,0.2746448557899268,0.2755058114507103,0.12828239345673698,0.004735256134309083,0.0012914334911752045,0.018510546706844596
24,Barolo 2015,2015,92461,3.8,72.62931927914534,Fontanafredda,1963,Barolo,13,1,['Nebbiolo'],0.16046867040244522,0.023433520122261846,0.05247070809984717,0.46561385634233315,0.05196128374936322,0.08252674477840041,0.25929699439633214,0.4717269485481406,0.3927661742231279,0.18746816097809477,0.00815078960774325,0.003565970453387672,0.023942944472745798
25,Ca'Marcanda Magari 2017,2017,1178883,4.3,66.68016002078531,Gaja,1944,Bolgheri,13,3,"['Cabernet Sauvignon', 'Merlot', 'Sangiovese']",0.294238683127572,0.00977366255144033,0.016975308641975308,0.25102880658436216,0.0257201646090535,0.043209876543209874,0.21296296296296297,0.3410493827160494,0.20833333333333334,0.18364197530864199,0.00360082304526749,0.00205761316872428,0.026748971193415638
26,Roda Reserva Rioja 2016,2016,18715,4.1,59.98735585513028,Bodegas Roda,1878,Rioja,12,3,"['Tempranillo', 'Graciano', 'Garnacha']",0.2731629392971246,0.005324813631522897,0.03194888178913738,0.27209797657082,0.01863684771033014,0.05378061767838126,0.305111821086262,0.46645367412140576,0.25931842385516507,0.2582534611288605,0.0026624068157614484,0.0,0.011714589989350373
27,Dagromis Barolo 2015,2015,66164,4.4,125.67598933285558,Gaja,1727,Barolo,13,1,['Nebbiolo'],0.1250723798494499,0.023161551823972205,0.024898668210770122,0.3138390272148234,0.04111175448755067,0.05037637521713955,0.1777649102489867,0.30689056166763173,0.27562246670526924,0.14939200926462073,0.003474232773595831,0.0023161551823972205,0.016213086276780544
28,Pieve Santa Restituta Brunello di Montalcino 2016,2016,1165708,4.4,54.53395986830025,Gaja,1602,Brunello di Montalcino,13,1,['Sangiovese'],0.23345817727840198,0.011860174781523096,0.05867665418227216,0.46192259675405745,0.049937578027465665,0.08114856429463171,0.36704119850187267,0.5518102372034956,0.42384519350811484,0.2815230961298377,0.008114856429463172,0.0006242197253433209,0.028089887640449437
29,Montepulciano d'Abruzzo Riserva 2010,2010,93055,4.1,52.05514351065024,Marina Cvetić,1578,Montepulciano d'Abruzzo,13,1,['Montepulciano'],0.2788339670468948,0.005703422053231939,0.037389100126742715,0.2946768060836502,0.024081115335868188,0.04055766793409379,0.2262357414448669,0.3719898605830165,0.2332065906210393,0.1679340937896071,0.005703422053231939,0.0031685678073510772,0.020278833967046894
30,Bricco dell'Uccellone Barbera d'Asti 2017,2017,15149,4.5,116.50436880955054,Braida,1552,Barbera d'Asti,13,1,['Barbera'],0.1404639175257732,0.004510309278350515,0.021262886597938145,0.15270618556701032,0.014819587628865979,0.026417525773195876,0.14239690721649484,0.20876288659793815,0.10695876288659793,0.12564432989690721,0.003865979381443299,0.0006443298969072165,0.01095360824742268
31,Pinotage 2016,2016,56164,4.2,63.95346202737029,Kanonkop,1551,Stellenbosch,13,1,['Pinotage'],0.6118633139909736,0.013539651837524178,0.06576402321083172,0.5551257253384912,0.04642166344294004,0.15731785944551901,0.562862669245648,0.7904577691811734,0.36879432624113473,0.39909735654416506,0.0051579626047711154,0.07285622179239201,0.047066408768536426
32,St. Henri Shiraz 2013,2013,1268,4.4,102.227341502978,Penfolds,1410,South Australia,13,1,['Shiraz/Syrah'],0.7893617021276595,0.011347517730496455,0.07234042553191489,0.48723404255319147,0.05319148936170213,0.08297872340425531,0.4276595744680851,0.8482269503546099,0.3120567375886525,0.5787234042553191,0.010638297872340425,0.005673758865248227,0.03687943262411347
